Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
insert-random/1024/BST,1.2310747534099352e-4,1.2250770657678834e-4,1.237580773763826e-4,2.1749360754118653e-6,1.7605029130188314e-6,2.8028295090025965e-6
insert-random/1024/RBT,1.2470114483284297e-4,1.2077934817704788e-4,1.2778890544189447e-4,1.2921997801121943e-5,1.0382071547704185e-5,1.5614201254386782e-5
insert-random/2048/BST,3.5141055936104e-4,3.457419798931342e-4,3.586316027377982e-4,2.094770868961556e-5,1.6163124591613235e-5,3.368946662403085e-5
insert-random/2048/RBT,3.3790981260557913e-4,3.3219162591880915e-4,3.4528215268090815e-4,2.186774923344718e-5,1.7416247329138016e-5,2.904422305736341e-5
insert-random/4096/BST,9.544983326958033e-4,9.358916983410478e-4,9.742947311962957e-4,6.759948475182836e-5,5.4250409043478346e-5,9.001753068466454e-5
insert-random/4096/RBT,7.946286047733632e-4,7.836860656113317e-4,8.075850808793823e-4,3.984533920685617e-5,3.110602643661253e-5,5.413197026048463e-5
insert-random/8192/BST,2.520251283797135e-3,2.481016575479095e-3,2.5724818913812047e-3,1.5176465740757337e-4,1.2064165929601471e-4,1.942510975317955e-4
insert-random/8192/RBT,2.1305958302576433e-3,2.0948990660047016e-3,2.18867377485384e-3,1.4949302198593093e-4,1.0285675415349149e-4,2.4227559261157415e-4
insert-random/16384/BST,6.259431463212388e-3,6.1662481483086284e-3,6.427021282456452e-3,3.5424338003783574e-4,2.3512508593233615e-4,5.543289557162381e-4
insert-random/16384/RBT,5.211253411440382e-3,5.130308989844225e-3,5.312800954151417e-3,2.741023892973619e-4,2.1066767585158866e-4,3.6809597335906325e-4
insert-random/32768/BST,1.9909486341789233e-2,1.935468642452367e-2,2.06670522739175e-2,1.512772975629704e-3,1.1102685256814356e-3,2.2367940617420783e-3
insert-random/32768/RBT,1.3240413169089736e-2,1.2904720226968982e-2,1.368167981182044e-2,1.0229887522140654e-3,7.926499522738581e-4,1.3645275282404808e-3
insert-random/65536/BST,5.271008077661659e-2,5.142543217244271e-2,5.5151979251304516e-2,3.2869800705874674e-3,1.8678643792359934e-3,5.2609057402495584e-3
insert-random/65536/RBT,3.903737797878061e-2,3.7720802695304936e-2,4.0470682333333736e-2,2.660251097394801e-3,2.0355489523334186e-3,3.753675760061006e-3
insert-random/131072/BST,0.15884552149659906,0.15488324625850505,0.16389401530612324,6.587837449332735e-3,3.953791779979813e-3,9.644923698134788e-3
insert-random/131072/RBT,0.10978351354056518,0.10676907068342174,0.11569888437389947,6.817105265468426e-3,3.0649744931859776e-3,1.0617405730331719e-2
insert-random/262144/BST,0.4472586479166658,0.4283291812499943,0.46122231666666913,1.8953149992354132e-2,7.829750109375986e-3,2.3676999824409e-2
insert-random/262144/RBT,0.3077400466666672,0.2929745200000006,0.32741186000000083,2.113526608071304e-2,1.154608048958688e-2,2.766760249755942e-2
insert-random/524288/BST,1.082123581250004,1.0781656062500025,1.0842050875000049,3.8455263021582075e-3,2.859904558397512e-4,4.8070327750315495e-3
insert-random/524288/RBT,0.8187237229166661,0.7904327416666656,0.8529938812499989,3.4774089770056346e-2,1.4840562500001653e-2,4.8198817052702965e-2
insert-random/1048576/BST,2.3841550791666637,2.3038350999999864,2.415773741666667,5.571071464417511e-2,9.861181087778649e-3,7.302017322317116e-2
insert-random/1048576/RBT,2.774144610416672,2.759771150000013,2.7891402562500005,1.8529653769913928e-2,8.629577493535998e-3,2.4564507469442252e-2
